Date,bitcoin,btc,cryptocurrency
04-07-2014,"23,297","4,848",0
04-08-2014,"24,112","5,171",0
04-09-2014,"26,953","5,412",0
04-10-2014,"25,589","5,510",0
04-11-2014,"22,617","5,256",0
04-12-2014,"15,827","4,988",0
4-13-2014,"13,358","4,485",0
4-14-2014,"18,436","5,393",0
4-15-2014,"22,889","6,370",0
4-16-2014,"29,808","5,630",0
4-17-2014,"20,833","5,156",0
4-18-2014,"18,523","5,014",0
4-19-2014,"16,005","4,664",0
4-20-2014,"14,361","4,559",0
4-21-2014,"19,254","4,903",0
4-22-2014,"22,393","5,819",0
4-23-2014,"23,156","5,292",0
4-24-2014,"23,046","5,433",0
4-25-2014,"23,651","5,526",0
4-26-2014,"15,403","5,202",0
4-27-2014,"14,501","6,256",0
4-28-2014,"20,604","5,695",0
4-29-2014,"26,259","5,800",0
4-30-2014,"30,916","5,441",0
05-01-2014,"20,434","5,146",0
05-02-2014,"18,697","5,222",0
05-03-2014,"15,721","5,323",0
05-04-2014,"14,876","4,946",0
05-05-2014,"23,644","5,317",0
05-06-2014,"25,490","7,072",0
05-07-2014,"21,763","5,294",0
05-08-2014,"27,592","5,081",0
05-09-2014,"28,624","5,295",0
05-10-2014,"18,285","4,695",0
05-11-2014,"16,041","4,910",0
05-12-2014,"19,316","5,166",0
5-13-2014,"23,974","5,135",0
5-14-2014,"22,526","5,281",0
5-15-2014,"21,633","5,365",0
5-16-2014,"28,352","5,325",0
5-17-2014,"17,296","5,372",0
5-18-2014,"17,082","5,222",0
5-19-2014,"24,915","5,226",0
5-20-2014,"25,660","5,683",0
5-21-2014,"23,831","5,908",0
5-22-2014,"24,918","6,443",0
5-23-2014,"27,566","6,386",0
5-24-2014,"15,056","5,470",0
5-25-2014,"16,029","5,872",0
5-26-2014,"18,879","5,623",0
5-27-2014,"22,525","6,163",0
5-28-2014,"22,323","5,476",0
5-29-2014,"28,195","5,657",0
5-30-2014,"22,953","5,376",0
5-31-2014,"16,177","4,928",0
06-01-2014,"16,024","5,447",0
06-02-2014,"22,225","5,450",0
06-03-2014,"27,819","5,754",0
06-04-2014,"23,826","5,822",0
06-05-2014,"22,357","5,481",0
06-06-2014,"21,191","5,288",0
06-07-2014,"15,285","4,566",0
06-08-2014,"13,932","4,765",0
06-09-2014,"17,850","5,666",0
06-10-2014,"21,098","5,516",0
06-11-2014,"27,088","5,758",0
06-12-2014,"28,361","6,163",0
6-13-2014,"26,729","6,342",0
6-14-2014,"19,831","5,034",0
6-15-2014,"19,823","5,217",0
6-16-2014,"29,470","5,808",0
6-17-2014,"25,210","5,828",0
6-18-2014,"29,059","5,755",0
6-19-2014,"24,884","5,890",0
6-20-2014,"21,588","5,447",0
6-21-2014,"16,844","5,202",0
6-22-2014,"15,462","4,544",0
6-23-2014,"21,363","5,370",0
6-24-2014,"21,238","5,170",0
6-25-2014,"21,303","5,540",0
6-26-2014,"21,587","5,733",0
6-27-2014,"21,138","5,642",0
6-28-2014,"16,647","4,895",0
6-29-2014,"18,250","4,667",0
6-30-2014,"27,472","5,835",0
07-01-2014,"27,626","5,449",0
07-02-2014,"28,898","5,379",0
07-03-2014,"24,880","5,186",0
07-04-2014,"22,913","5,024",0
07-05-2014,"16,731","4,680",0
07-06-2014,"15,871","4,531",0
07-07-2014,"23,712","5,445",0
07-08-2014,"24,370","5,619",0
07-09-2014,"24,512","5,369",0
07-10-2014,"25,843","5,307",0
07-11-2014,"23,170","5,307",0
07-12-2014,"18,376","4,794",0
7-13-2014,"16,006","4,728",0
7-14-2014,"20,651","5,007",0
7-15-2014,"26,378","5,641",0
7-16-2014,"27,361","5,359",0
7-17-2014,"26,990","5,447",0
7-18-2014,"32,056","5,029",0
7-19-2014,"22,481","4,816",0
7-20-2014,"18,927","4,655",0
7-21-2014,"25,970","5,752",0
7-22-2014,"23,561","5,411",0
7-23-2014,"23,528","5,248",0
7-24-2014,"22,792","5,343",0
7-25-2014,"27,083","5,270",0
7-26-2014,"19,772","4,673",0
7-27-2014,"18,761","4,592",0
7-28-2014,"31,771","7,041",0
7-29-2014,"29,666","5,083",0
7-30-2014,"31,676","5,618",0
7-31-2014,"29,330","5,308",0
08-01-2014,"26,925","5,185",0
08-02-2014,"21,580","4,431",0
08-03-2014,"20,275","4,300",0
08-04-2014,"25,282","5,366",0
08-05-2014,"26,276","5,142",0
08-06-2014,"30,077","5,079",0
08-07-2014,"28,534","5,367",0
08-08-2014,"29,681","5,694",0
08-09-2014,"21,272","5,074",0
08-10-2014,"21,090","4,831",0
08-11-2014,"30,434","5,634",0
08-12-2014,"29,654","5,321",0
8-13-2014,"28,566","5,615",0
8-14-2014,"28,984","5,747",0
8-15-2014,"31,212","5,423",0
8-16-2014,"25,749","4,944",0
8-17-2014,"20,659","5,143",0
8-18-2014,"29,389","6,277",0
8-19-2014,"29,436","6,497",0
8-20-2014,"29,970","8,312",0
8-21-2014,"26,721","7,457",0
8-22-2014,"26,195","7,390",0
8-23-2014,"21,451","5,570",0
8-24-2014,"18,901","5,083",0
8-25-2014,"25,080","5,154",0
8-26-2014,"25,766","5,303",0
8-27-2014,"23,770","5,948",0
8-28-2014,"27,553","6,073",0
8-29-2014,"27,279","5,245",0
8-30-2014,"23,715","4,825",0
8-31-2014,"20,946","5,524",0
09-01-2014,"25,108","5,314",0
09-02-2014,"29,159","5,733",0
09-03-2014,"29,596","6,575",0
09-04-2014,"33,518","6,936",0
09-05-2014,"31,214","5,994",0
09-06-2014,"22,634","6,415",0
09-07-2014,"21,468","6,789",0
09-08-2014,"31,376","5,841",0
09-09-2014,"41,180","7,288",0
09-10-2014,"34,828","5,755",0
09-11-2014,"37,179","5,675",0
09-12-2014,"29,306","5,273",0
9-13-2014,"21,855","4,981",0
9-14-2014,"21,855","4,894",0
9-15-2014,"29,503","5,541",0
9-16-2014,"27,368","5,539",0
9-17-2014,"30,693","5,721",0
9-18-2014,"31,191","5,884",0
9-19-2014,"29,885","7,283",0
9-20-2014,"21,041","5,903",0
9-21-2014,"21,499","6,296",0
9-22-2014,"28,914","6,294",0
9-23-2014,"39,278","6,808",0
9-24-2014,"35,524","6,057",0
9-25-2014,"28,497","5,933",0
9-26-2014,"26,257","6,716",0
9-27-2014,"22,134","5,343",0
9-28-2014,"22,527","5,405",0
9-29-2014,"30,105","6,476",0
9-30-2014,"30,739","6,372",0
10-01-2014,"28,084","5,895",0
10-02-2014,"25,562","5,231",0
10-03-2014,"28,304","5,655",0
10-04-2014,"25,513","5,747",0
10-05-2014,"28,336","6,487",0
10-06-2014,"36,255","7,063",0
10-07-2014,"35,252","7,181",0
10-08-2014,"31,310","6,518",0
10-09-2014,"30,771","5,818",0
10-10-2014,"26,381","5,694",0
10-11-2014,"21,996","5,020",0
10-12-2014,"22,078","4,955",0
10-13-2014,"28,919","5,424",0
10-14-2014,"34,739","7,941",0
10-15-2014,"30,933","5,795",0
10-16-2014,"28,972","6,017",0
10-17-2014,"28,276","5,486",0
10-18-2014,"23,426","5,478",0
10-19-2014,"21,766","5,550",0
10-20-2014,"29,301","6,439",0
10-21-2014,"30,848","6,011",0
10-22-2014,"29,154","5,477",0
10-23-2014,"28,333","5,553",0
10-24-2014,"27,657","5,254",0
10-25-2014,"23,774","5,226",0
10-26-2014,"22,550","5,532",0
10-27-2014,"26,939","5,617",0
10-28-2014,"26,891","5,409",0
10-29-2014,"29,544","5,630",0
10-30-2014,"29,310","7,993",0
10-31-2014,"27,265","19,578",0
11-01-2014,"23,555","6,411",0
11-02-2014,"24,017","5,541",0
11-03-2014,"30,719","5,206",0
11-04-2014,"29,948","5,168",0
11-05-2014,"29,311","5,383",0
11-06-2014,"33,328","5,562",0
11-07-2014,"32,295","6,076",0
11-08-2014,"25,308","5,868",0
11-09-2014,"24,074","5,478",0
11-10-2014,"28,750","5,376",0
11-11-2014,"30,840","5,448",0
11-12-2014,"32,844","6,344",0
11-13-2014,"35,207","5,769",0
11-14-2014,"32,470","5,452",0
11-15-2014,"28,660","4,959",0
11-16-2014,"26,956","4,873",0
11-17-2014,"34,000","5,725",0
11-18-2014,"35,733","5,399",0
11-19-2014,"31,961","5,173",0
11-20-2014,"32,060","5,707",0
11-21-2014,"31,135","5,226",0
11-22-2014,"25,494","5,053",0
11-23-2014,"24,514","5,417",0
11-24-2014,"30,107","5,696",0
11-25-2014,"33,005","6,347",0
11-26-2014,"35,721","12,878",0
11-27-2014,"31,811","11,583",0
11-28-2014,"30,813","13,428",0
11-29-2014,"27,086","4,942",0
11-30-2014,"23,326","4,876",0
12-01-2014,"33,892","8,188",0
12-02-2014,"38,810","6,518",0
12-03-2014,"32,590","5,614",0
12-04-2014,"32,051","5,465",0
12-05-2014,"30,823","5,664",0
12-06-2014,"25,295","4,849",0
12-07-2014,"27,367","4,920",0
12-08-2014,"30,505","5,595",0
12-09-2014,"35,800","6,539",0
12-10-2014,"31,842","5,589",0
12-11-2014,"53,514","5,874",0
12-12-2014,"38,573","5,291",0
12-13-2014,"29,084","4,969",0
12-14-2014,"27,733","5,022",0
12-15-2014,"33,746","5,496",0
12-16-2014,"37,020","5,994",0
12-17-2014,"34,845","5,783",0
12-18-2014,"34,406","6,008",0
12-19-2014,"31,123","4,945",0
12-20-2014,"27,573","4,646",0
12-21-2014,"28,074","4,415",0
12-22-2014,"31,997","4,902",0
12-23-2014,"30,702","4,587",0
12-24-2014,"29,948","4,482",0
12-25-2014,"24,960","4,211",0
12-26-2014,"29,993","4,350",0
12-27-2014,"36,291","4,401",0
12-28-2014,"24,267","4,205",0
12-29-2014,"26,976","4,149",0
12-30-2014,"28,321","4,419",0
12-31-2014,"30,033","4,585",0
01-01-2015,"25,326","4,536",0
01-02-2015,"31,612","5,311",0
01-03-2015,"24,985","6,020",0
01-04-2015,"27,218","6,544",0
01-05-2015,"36,823","6,534",0
01-06-2015,"37,278","5,788",0
01-07-2015,"33,893","5,376",0
01-08-2015,"29,430","5,471",0
01-09-2015,"38,253","6,854",0
01-10-2015,"26,431","5,182",0
01-11-2015,"24,570","5,395",0
01-12-2015,"30,559","6,954",0
1-13-2015,"37,057","8,935",0
1-14-2015,"43,953","6,621",0
1-15-2015,"39,157","7,244",0
1-16-2015,"32,712","5,750",0
1-17-2015,"25,581","5,076",0
1-18-2015,"26,963","4,949",0
1-19-2015,"34,813","7,565",0
1-20-2015,"36,373","5,103",0
1-21-2015,"33,163","5,155",0
1-22-2015,"35,242","5,107",0
1-23-2015,"36,468","5,256",0
1-24-2015,"30,928","7,303",0
1-25-2015,"28,899","4,878",0
